timestamp,electricity_demand_rate_W,produced_electricity_rate_W,drybulb_C,relhum_percent,Global Horizontal Radiation,dni_Wm2,dhi_Wm2,Wind Speed (m/s),wdir_deg,ev_status,tar_s,tar_w,tar_sw,tar_flat,tar_tou,Pgrid,Ppv,Load,PBESS,EBESS,Pev,Eev,ev_status_env,PBESS_cmd,Pev_cmd
2000-01-08 00:00:00,144.98,0.0,-3.382419924,82.96483984817206,0.0,0.0,0.0,85.96483984817206,4.401758007591397,0.232891032,1.074,1.0357826213966612,1.1097826213966615,1,0.7,-0.7273895149628945,0.0,0.14497999846935272,4.720000000000002,2.8933334350585938,-5.592369514962897,6.520700007677078,1.0,5.0,-5.144979953765869
2000-01-08 00:05:00,144.98,0.0,-3.406574454,83.0,0.0,0.0,0.0,86.06574453714362,4.386851092571277,0.232891032,1.074,1.0357826213966612,1.1097826213966615,1,0.7,-0.6862794522014383,0.0,0.14497999846935272,-5.297877894736841,2.4518434703350067,4.4666184425354025,6.892918199300766,1.0,-5.0,4.855020046234131
2000-01-08 00:10:00,144.98,0.0,-3.414906915,83.0,0.0,0.0,0.0,86.14906915,4.37018617,0.232891032,1.074,1.0357826213966612,1.1097826213966615,1,0.7,-0.680981574306703,0.0,0.14497999846935272,-5.2925800168421056,2.0107951760292053,4.4666184425354025,7.265136390924454,1.0,-5.0,4.855020046234131
2000-01-08 00:15:00,144.98,0.0,-3.423239376,83.0,0.0,0.0,0.0,86.23239376325878,4.353521247348242,0.232891032,1.074,1.0357826213966612,1.1097826213966615,1,0.7,-0.6756889942898588,0.0,0.14497999846935272,-5.287287436825261,1.5701879560947418,4.4666184425354025,7.637355029582977,1.0,-5.0,4.855020046234131
2000-01-08 00:20:00,144.98,0.0,-3.431571838,83.0,0.0,0.0,0.0,86.31571837631634,4.336856324736731,0.232891032,1.074,1.0357826213966612,1.1097826213966615,1,0.7,-0.6704017068530369,0.0,0.14497999846935272,-5.282000149388439,1.1300212144851685,4.4666184425354025,8.009573221206665,1.0,-5.0,4.855020046234131
2000-01-08 00:25:00,144.98,0.0,-3.439904299,83.0,0.0,0.0,0.0,86.39904298937394,4.3201914021252135,0.232891032,1.074,1.0357826213966612,1.1097826213966615,1,0.7,-0.6651197067036575,0.0,0.14497999846935272,-5.276718149239049,0.6902947276830673,4.466618442535392,8.381791412830353,1.0,-5.0,4.855020046234131
2000-01-08 00:30:00,144.98,0.0,-3.44823676,83.0,0.0,0.0,0.0,86.48236760243152,4.303526479513696,0.232891032,1.074,1.0357826213966612,1.1097826213966615,1,0.7,-0.20214243210050087,0.0,0.14497999846935272,-1.638896461832256,0.5537199974060059,1.291774029731755,8.489439189434052,1.0,-1.5490822792053223,1.4041022062301636
2000-01-08 00:35:00,144.98,0.0,-3.456569222,83.0,0.0,0.0,0.0,86.56569221548911,4.286861557,0.232891032,1.074,1.0357826213966612,1.1097826213966615,1,0.7,4.604953802644256,0.0,0.14497999846935272,-0.006644639891136173,0.5531662702560425,4.466618442535392,8.86165738105774,1.0,0.0,4.855020046234131
2000-01-08 00:40:00,144.98,0.0,-3.464901683,83.0,0.0,0.0,0.0,86.64901682854669,4.270196634290662,0.232891032,1.074,1.0357826213966612,1.1097826213966615,1,0.7,2.8377634963716765,0.0,0.14497999846935272,-0.006637995251244533,0.5526131018996239,2.699421491622921,9.08660888671875,1.0,0.0,2.9341537952423096
2000-01-08 00:45:00,144.98,0.0,-3.473234144,83.0,0.0,0.0,0.0,86.73234144160428,4.253531711679145,0.232891032,1.074,1.0357826213966612,1.1097826213966615,1,0.7,4.604967085279398,0.0,0.14497999846935272,-0.006631357255993731,0.55206049233675,4.466618442535392,9.458827078342438,1.0,0.0,4.855020046234131
2000-01-08 00:50:00,144.98,0.0,-3.481566605,83.0,0.0,0.0,0.0,86.81566605466186,4.236866789067627,0.232891032,1.074,1.0357826213966612,1.1097826213966615,1,0.7,0.13835527410126292,0.0,0.14497999846935272,-0.006624725898737083,0.551508441567421,0.0,9.458827078342438,1.0,0.0,0.0
2000-01-08 00:55:00,144.98,0.0,-3.489899067,83.0,0.0,0.0,0.0,86.89899066771945,4.220201866,0.232891032,1.074,1.0357826213966612,1.1097826213966615,1,0.7,0.13836189882716143,0.0,0.14497999846935272,-0.006618101172838564,0.5509569123387337,0.0,9.458827078342438,1.0,0.0,0.0
2000-01-08 01:00:00,144.98,0.0,-3.498231528,83.0,0.0,0.0,0.0,86.98231528,4.203536943844599,0.232891032,1.074,1.0332603052710152,1.1072603052710157,1,0.7,0.13836851692833385,0.0,0.14497999846935272,-0.006611483071666147,0.5504059791564941,0.0,9.458827078342438,1.0,0.0,0.0
2000-01-08 01:05:00,144.98,0.0,-3.506563989,82.93436010616541,0.0,0.0,0.0,87.19691968150377,4.186872021233081,0.232891032,1.074,1.0332603052710152,1.1072603052710157,1,0.7,0.13837512841140553,0.0,0.14497999846935272,-0.006604871588594463,0.5498555675148964,0.0,9.458827078342438,1.0,0.0,0.0
2000-01-08 01:10:00,144.98,0.0,-3.514896451,82.85103549310782,0.0,0.0,0.0,87.44689352067654,4.170207098621565,0.232891032,1.074,1.0332603052710152,1.1072603052710157,1,0.7,0.13838173328299386,0.0,0.14497999846935272,-0.00659826671700614,0.5493057146668434,0.0,9.458827078342438,1.0,0.0,0.0
