timestamp;electricity_demand_rate_W;produced_electricity_rate_W;drybulb_C;relhum_percent;Global Horizontal Radiation;dni_Wm2;dhi_Wm2;Wind Speed (m/s);wdir_deg;ev_status;tar_s;tar_w;tar_sw;tar_flat;tar_tou;ev_conn;ev_arrival;ev_departure
23/07/2000 22:00;44.98;0.0;18.50878148;74.48536421;0.0;0.0;0.0;1.163172214;181.1531693;0.7308853756377092;0.3222;0.2908849884249999;0.3130849884249999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
23/07/2000 22:05;44.98;0.0;18.45878671;74.56868882;0.0;0.0;0.0;1.088180063;205.9005793;0.7308853756377092;0.3222;0.2908849884249999;0.3130849884249999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
23/07/2000 22:10;44.98;0.0;18.40879194;74.65201343;0.0;0.0;0.0;1.013187911;230.6479894;0.7308853756377092;0.3222;0.2908849884249999;0.3130849884249999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
23/07/2000 22:15;44.98;0.0;18.35879717;74.73533805;0.0;0.0;0.0;0.938195759;255.3953995;0.7308853756377092;0.3222;0.2908849884249999;0.3130849884249999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
23/07/2000 22:20;44.98;0.0;18.3088024;74.81866266;0.0;0.0;0.0;0.863203607;280.1428096;0.7308853756377092;0.3222;0.2908849884249999;0.3130849884249999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
23/07/2000 22:25;44.98;0.0;18.25880764;74.90198727;0.0;0.0;0.0;0.788211456;304.8902197;0.7308853756377092;0.3222;0.2908849884249999;0.3130849884249999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
23/07/2000 22:30;44.98;0.0;18.20881287;74.98531188;0.0;0.0;0.0;0.713219304;329.6376297;0.7308853756377092;0.3222;0.2908849884249999;0.3130849884249999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
23/07/2000 22:35;44.98;0.0;18.1588181;75.0686365;0.0;0.0;0.0;0.775500147;329.6759006;0.7308853756377092;0.3222;0.2908849884249999;0.3130849884249999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
23/07/2000 22:40;44.98;0.0;18.10882333;75.15196111;0.0;0.0;0.0;0.867157222;324.42645;0.7308853756377092;0.3222;0.2908849884249999;0.3130849884249999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
23/07/2000 22:45;44.98;0.0;18.05882857;75.23528572;0.0;0.0;0.0;0.958814296;319.1769994;0.7308853756377092;0.3222;0.2908849884249999;0.3130849884249999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
23/07/2000 22:50;44.98;0.0;18.0088338;75.31861034;0.0;0.0;0.0;1.050471371;313.9275488;0.7308853756377092;0.3222;0.2908849884249999;0.3130849884249999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
23/07/2000 22:55;44.98;0.0;17.95883903;75.40193495;0.0;0.0;0.0;1.142128445;308.6780982;0.7308853756377092;0.3222;0.2908849884249999;0.3130849884249999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
23/07/2000 23:00;44.98;0.0;17.90884426;75.48525956;0.0;0.0;0.0;1.233785519;303.4286475;0.7308853756377092;0.3222;0.2910755748;0.3132755747999999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
23/07/2000 23:05;44.98;0.0;17.85884949;75.56858418;0.0;0.0;0.0;1.325442594;298.1791969;0.7308853756377092;0.3222;0.2910755748;0.3132755747999999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
23/07/2000 23:10;519.8789756;0.0;17.80885473;75.65190879;0.0;0.0;0.0;1.417099668;292.9297463;0.7308853756377092;0.3222;0.2910755748;0.3132755747999999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
