episode,train_reward,best_eval_reward,phase,evals_since_best,anchor_candidate_count,anchor_updates,n_critic_updates,n_actor_updates,critic_loss,critic_main_loss,actor_loss,alpha_loss,q1_mean,q2_mean,q_return_corr,backup_mean,q_pi_mean,q_pi_std_mean,logp_mean,violation_mean,proj_delta_mean,kl,kl_from_best,kl_beta,alpha,lambda_value,actor_lr,critic_lr,eval_mean_reward,eval_worst_reward,eval_robust_reward,eval_energy_cost_mean,eval_bess_cost_mean,eval_ev_cost_mean,eval_pv_cost_mean,eval_grid_penalty_mean,eval_bess_abs_power_mean,eval_ev_abs_power_mean,eval_pv_cmd_mean
0,-151.4165882839079,-81.90200297268127,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-81.90200297268127,-134.36707138246857,-131.1650801120686,0.013022684513388352,0.0005735665944859718,0.02633519176827892,2.7420484130979506e-05,0.000667130305598168,0.27531195753906906,0.4094286886365137,0.01042827538426131
1,-91.9488157639571,-81.90200297268127,1,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-81.90200297268127,-134.36707138246857,-131.1650801120686,0.013022684513388352,0.0005735665944859718,0.02633519176827892,2.7420484130979506e-05,0.000667130305598168,0.27531195753906906,0.4094286886365137,0.01042827538426131
2,-108.87553668324836,-81.90200297268127,1,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-81.90200297268127,-134.36707138246857,-131.1650801120686,0.013022684513388352,0.0005735665944859718,0.02633519176827892,2.7420484130979506e-05,0.000667130305598168,0.27531195753906906,0.4094286886365137,0.01042827538426131
3,-200.08903655673203,-81.90200297268127,1,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-81.90200297268127,-134.36707138246857,-131.1650801120686,0.013022684513388352,0.0005735665944859718,0.02633519176827892,2.7420484130979506e-05,0.000667130305598168,0.27531195753906906,0.4094286886365137,0.01042827538426131
4,-121.38094093250402,-81.90200297268127,1,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-81.90200297268127,-134.36707138246857,-131.1650801120686,0.013022684513388352,0.0005735665944859718,0.02633519176827892,2.7420484130979506e-05,0.000667130305598168,0.27531195753906906,0.4094286886365137,0.01042827538426131
5,-132.3842311735898,-81.90200297268127,1,6,0,0,252,0,0.19472114576233757,0.19472114576233757,,,-0.8187513418259129,-0.8213598818059952,0.5134286271216023,-0.8327618879931313,,,,,,,,,,,,,-81.90200297268127,-134.36707138246857,-131.1650801120686,0.013022684513388352,0.0005735665944859718,0.02633519176827892,2.7420484130979506e-05,0.000667130305598168,0.27531195753906906,0.4094286886365137,0.01042827538426131
6,-102.71432597560488,-81.90200297268127,1,7,0,0,252,0,0.17692332105740669,0.17692332105740669,,,-1.324889594600314,-1.324963613161965,0.5806286157596678,-1.3234127305802845,,,,,,,,,,,,,-81.90200297268127,-134.36707138246857,-131.1650801120686,0.013022684513388352,0.0005735665944859718,0.02633519176827892,2.7420484130979506e-05,0.000667130305598168,0.27531195753906906,0.4094286886365137,0.01042827538426131
7,-110.55927595015964,-81.90200297268127,1,8,0,0,252,0,0.1904470113416513,0.1904470113416513,,,-1.7860294041179476,-1.7861893295295654,0.5408102227818399,-1.7802360105136084,,,,,,,,,,,,,-81.90200297268127,-134.36707138246857,-131.1650801120686,0.013022684513388352,0.0005735665944859718,0.02633519176827892,2.7420484130979506e-05,0.000667130305598168,0.27531195753906906,0.4094286886365137,0.01042827538426131
8,-118.67896786978963,-81.90200297268127,1,9,0,0,252,0,0.20294047265298784,0.20294047265298784,,,-2.2414042713150146,-2.2418313575169395,0.4696485359990408,-2.233547784033276,,,,,,,,,,,,,-81.90200297268127,-134.36707138246857,-131.1650801120686,0.013022684513388352,0.0005735665944859718,0.02633519176827892,2.7420484130979506e-05,0.000667130305598168,0.27531195753906906,0.4094286886365137,0.01042827538426131
9,-103.22165824542753,-81.90200297268127,1,10,0,0,252,0,0.21750455255073214,0.21750455255073214,,,-2.6808056888126193,-2.6820001971153986,0.41475529684906914,-2.670499226403615,,,,,,,,,,,,,-81.90200297268127,-134.36707138246857,-131.1650801120686,0.013022684513388352,0.0005735665944859718,0.02633519176827892,2.7420484130979506e-05,0.000667130305598168,0.27531195753906906,0.4094286886365137,0.01042827538426131
10,-431.2795066332619,-81.90200297268127,1,11,0,0,252,126,0.16209339335679063,0.16209339335679063,2.6654362564995173,-1.0660716952785614,-2.635154168757181,-2.6361934296668523,0.29662348031406366,-2.625925001643953,-2.629124257299635,0.03541453753317159,0.11829114464362936,0.0737145343603241,0.0,,17.492707832879017,,0.29944937285922824,0.0,0.0001,,-89.90397251851444,-133.4155330146823,-126.20479353174233,0.01239053532828697,0.0003564298433383164,0.03180885908702844,3.939958407930983e-05,6.919217870617784e-10,0.17108631995752965,0.3609906309165076,0.014912593006972211
11,-778.1847727455606,-79.00824506722269,1,12,0,0,252,126,0.08869904949374142,0.08869904949374142,2.056731959184011,-2.2012800659452165,-2.2849726412031384,-2.285432594163077,0.26306769041906275,-2.2804933578249007,-2.2924208357220603,0.037742856180384046,-0.8004301398519486,0.19290060467190212,0.0,,39.39895027402847,,0.2944187100917574,0.0,0.0001,,-79.00824506722269,-114.91435390996412,-112.79783351892002,0.01317760828889313,0.0002713270762438064,0.025700250550857947,4.141104255676119e-05,7.432512964877262e-10,0.1302369928835009,0.38015249581365856,0.015730914024343307
12,-781.9395797312536,-55.77287775913828,1,13,0,0,252,126,0.09769383674517038,0.09769383674517038,2.0105900035964117,-2.237610194418165,-2.2267599531582425,-2.22709384040227,0.39862990225591355,-2.22302997774548,-2.2450939379041155,0.043891848759755256,-0.8082699349948338,0.20016817677588689,0.0,,38.59380949111212,,0.29009843109146,0.0,0.0001,,-55.77287775913828,-84.51507396458692,-84.18162524389663,0.01314602504998502,0.00038827468890086835,0.014097175824333586,3.36417993424898e-05,5.769436859476549e-10,0.18637184540139975,0.39249772572749486,0.012536808165395636
13,-770.7424343640014,-51.18097867899147,1,14,0,0,252,126,0.10503142581336082,0.10503142581336082,1.991149161543165,-2.257824280905345,-2.204672722589402,-2.2049140494967263,0.4702377156132743,-2.2019382999056862,-2.221358821505592,0.05243014671381504,-0.8044913590900482,0.2172214388847351,0.0,,0.5676983547589135,,0.2861261845581115,0.0,0.0001,,-51.18097867899147,-77.39930337855185,-77.18141325191755,0.014239139117626247,0.000279106021776378,0.010826445591858887,4.26988519257616e-05,6.344327365047166e-10,0.13397088686063413,0.41155918334640323,0.016292443651684488
14,-759.8472818313894,-50.08415413643456,1,15,0,0,252,126,0.11820594043958754,0.11820594043958754,1.999835385216607,-2.285904594830104,-2.2082554669607255,-2.2084169293206837,0.5184303143667797,-2.2062929338879056,-2.2278591243047563,0.05735359991353656,-0.8075934322107405,0.21856453234241122,0.0,,0.03426452177680201,,0.2823220879312546,0.0,0.0001,,-50.08415413643456,-75.82617667960585,-75.70731177934067,0.014346085979930409,0.00029078592614916447,0.01016251236317079,4.394549742140679e-05,6.611240814062095e-10,0.1395772407755315,0.4180303390221621,0.016844742113968483
15,-735.6031210498331,-50.08415413643456,1,16,0,0,252,126,0.1331196835057603,0.1331196835057603,2.0220255728751892,-2.3134864663320873,-2.2320860567547025,-2.2322204481987726,0.5481197014451027,-2.230232169703832,-2.2478784379504977,0.06587230724593003,-0.8105211991166311,0.22764261303439973,0.0,,0.004791910691733753,,0.2786221362295605,0.0,0.0001,,-50.21789873957167,-77.45062261771818,-76.91144102635371,0.013889416577990222,0.0003066117331311231,0.01067321895514875,4.042405892280222e-05,6.5085817952102e-10,0.14717362799174177,0.4133568688985035,0.015398075361208768
16,-704.856618727441,-50.08415413643456,1,17,0,0,252,126,0.14910130187987336,0.14910130187987336,2.102712166687799,-2.340351897572714,-2.3103918603488376,-2.3105951831454323,0.5901764076617029,-2.3089812880470637,-2.3263174238659086,0.07208424008318357,-0.8130075240892077,0.22842616055692946,0.0,,0.003879415860865265,,0.27500525968415396,0.0,0.0001,,-53.08738263881681,-82.9539623515011,-82.67069633520441,0.013607759513829738,0.0003140883807039193,0.012374270898976913,3.689991390568437e-05,8.379029148356432e-09,0.15076241873589064,0.40746368635417535,0.013995996725928389
17,-676.1603641985857,-50.08415413643456,1,18,0,0,252,126,0.16872220923976292,0.16872220923976292,2.1983081584885005,-2.3621875482892234,-2.4073034969587175,-2.407992312832484,0.6170672946979129,-2.4066165515354703,-2.418681551539709,0.08145314141634911,-0.8117181266111041,0.23129260404005883,0.0,,0.006737546455706396,,0.27146141278365304,0.0,0.0001,,-54.86972741133187,-86.40334723269552,-86.17360233716136,0.013622086721270165,0.00030572225399223683,0.013252988539960917,3.608418463271503e-05,2.45018334652267e-07,0.14674667799820698,0.40787541296106333,0.013696489384390699
18,-728.8903218107662,-50.08415413643456,1,19,0,0,252,126,0.18616303600489148,0.18616303600489148,2.373068406468346,-2.3926458150621444,-2.5744701945592485,-2.5747468405299716,0.6495557299682072,-2.5709110280824086,-2.5920544787058755,0.08584737689012573,-0.81708748047314,0.22811394314917308,0.0,,0.005885100720213756,,0.26797935745072743,0.0,0.0001,,-57.27842142804411,-91.49161636584904,-90.46092512682299,0.013549260224269234,0.0003393901582519053,0.014489787459977331,3.347696565235051e-05,5.810500467017307e-10,0.16290727149690232,0.4091430694444318,0.012629320084714011
19,-748.0869235236896,-50.08415413643456,1,20,0,0,252,126,0.20070711641557634,0.20070711641557634,2.516148402577355,-2.41745268352448,-2.709790000839839,-2.7101930720465526,0.6565693971656618,-2.7068013766455272,-2.7326128785572354,0.09330711430973476,-0.8181486044611249,0.2352265300495284,0.0,,0.005678266100215888,,0.2645520137415992,0.0,0.0001,,-59.14293936014133,-93.9342528306297,-93.23103188017922,0.013524870934956282,0.0003460916064438176,0.015432652243614535,3.315999039725786e-05,6.919217870617784e-10,0.16612396654352624,0.4068966936256113,0.012546880416305
20,-660.351695935693,-50.08415413643456,1,21,0,0,252,126,0.21967953544050928,0.21967953544050928,2.65497020312718,-2.440724355833871,-2.848804768115755,-2.8495096119623335,0.6617459037474224,-2.8436892042084345,-2.8686633223579046,0.09751237964346296,-0.8181039908575634,0.24737576407099526,0.0,,0.008362857724672981,,0.2611785301613429,0.0,0.0001,,-63.668120012857116,-102.36890700614094,-100.58568773223487,0.013282825216205963,0.0003644251334712115,0.017902503847209077,3.165397395431375e-05,6.282731953736029e-10,0.17492405924497656,0.40277990977880124,0.011935957380345896
21,-711.146302914116,-50.08415413643456,1,22,0,0,252,126,0.23591350066283392,0.23591350066283392,2.7845058516850547,-2.46378545344822,-2.9746399673204573,-2.974481061337486,0.6499765967092817,-2.9693229747196983,-2.995445073597015,0.10384462407184025,-0.8179563894158318,0.2454936241819745,0.0,,0.00987847592859041,,0.25785751049480743,0.0,0.0001,,-62.36437682274493,-100.84329252023599,-99.57400372182019,0.013198229456683072,0.0003896251984923224,0.017317365611386453,2.9489882290743667e-05,5.933691289639582e-10,0.18702009020043073,0.40464351910445684,0.01103392273385106
22,-673.999780046659,-50.08415413643456,1,23,0,0,252,126,0.25998763609973213,0.25998763609973213,2.935729323871552,-2.4860903592336747,-3.12631584916796,-3.1266287593614486,0.6462494075771362,-3.1184741239699107,-3.1438254326108903,0.11049958537258799,-0.817302267702799,0.24364871354330153,0.0,,0.01143321146937235,,0.25458959289013394,0.0,0.0001,,-62.986354331593624,-104.37176744207682,-102.69449434482158,0.01316262647066912,0.00041586430764462766,0.017635891521203817,2.884830846762553e-05,6.118477523572994e-10,0.1996148621291415,0.40818772430605316,0.010786324891652778
23,-752.3895520292572,-50.08415413643456,1,24,0,0,252,126,0.2830949051985665,0.2830949051985665,3.126526632006206,-2.512748945327032,-3.3263647546843877,-3.327400537710341,0.6545905260339616,-3.3159963110136608,-3.3326270731668624,0.11535001634841874,-0.8198383668112377,0.2495432665187215,0.0,,0.010749374597614247,,0.25136450583499576,0.0,0.0001,,-62.4099736215984,-103.67085419195064,-102.49660538732496,0.013215243956986191,0.00041508277681571223,0.017298033682329374,2.8967248274044734e-05,5.297205372757828e-10,0.19923972746569207,0.41233983226424914,0.010846943465565877
24,-663.4165638043632,-50.08415413643456,1,25,0,0,252,126,0.29636449467331644,0.29636449467331644,3.299035078003293,-2.5338541534211902,-3.478399092242831,-3.4794245314976524,0.647335115879301,-3.467961721950107,-3.502162365686326,0.11974154034304241,-0.8183635118461791,0.2477335473374715,0.0,,0.015679790276206203,,0.24818653625155251,0.0,0.0001,,-63.14275016080288,-106.51798484820029,-105.05417782833683,0.013365498445004148,0.0004010006982654174,0.017524084209553745,3.022474440273073e-05,5.461459802920862e-10,0.19248032995263142,0.4147537722914898,0.011367132154368943
25,-671.2806241047219,-50.08415413643456,1,26,0,0,252,126,0.3077068158558437,0.3077068158558437,3.3902487149314275,-2.5568824571276467,-3.5895073546303644,-3.5902307516052607,0.6363091121117274,-3.580352066055177,-3.590798743187435,0.12344485521316528,-0.8183133621064443,0.24279986901415718,0.0,,0.015006378300428863,,0.2450547091781147,0.0,0.0001,,-62.51134753801481,-105.38743206519212,-104.1354096160776,0.013385950645843482,0.00039072217456198035,0.017199109819792783,3.182963528475394e-05,5.892627682098824e-10,0.18754663859326492,0.4122474812354775,0.012031467339104212
