query_id,query,eid,title,doi,publication_name,cover_date,subtype_description,citedby_count,openaccess,authors,affiliations,scopus_link
Q7_il_plus_rl,"TITLE-ABS-KEY((""imitation learning"" OR ""behavior cloning"") AND (""reinforcement learning"") AND (""warm start"" OR pretraining OR initialization) AND (energy OR microgrid OR HEMS)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105034423128,Recurrent Reinforcement Learning for Urban Railway Speed Control,10.1109/ACCESS.2026.3677551,IEEE Access,2026-01-01,Article,0,1,Lyu M.; Miyatake M.,Sophia University,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105034423128&origin=inward
Q7_il_plus_rl,"TITLE-ABS-KEY((""imitation learning"" OR ""behavior cloning"") AND (""reinforcement learning"") AND (""warm start"" OR pretraining OR initialization) AND (energy OR microgrid OR HEMS)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105004061935,Stable Relay Learning Optimization Approach for Fast Power System Production Cost Minimization Simulation,10.1109/TPWRS.2024.3465839,IEEE Transactions on Power Systems,2025-01-01,Article,2,0,Guo Z.; Hu Q.; Qu C.; Qian T.; Fang X.; Hu R.; Wu Z.,Southeast University; State Grid Corporation of China; Bagley College of Engineering,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105004061935&origin=inward
Q7_il_plus_rl,"TITLE-ABS-KEY((""imitation learning"" OR ""behavior cloning"") AND (""reinforcement learning"") AND (""warm start"" OR pretraining OR initialization) AND (energy OR microgrid OR HEMS)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-85172898576,An online reinforcement learning approach for HVAC control,10.1016/j.eswa.2023.121749,Expert Systems with Applications,2024-03-15,Article,25,1,Solinas F.M.; Macii A.; Patti E.; Bottaccioli L.,Politecnico di Torino,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85172898576&origin=inward
Q7_il_plus_rl,"TITLE-ABS-KEY((""imitation learning"" OR ""behavior cloning"") AND (""reinforcement learning"") AND (""warm start"" OR pretraining OR initialization) AND (energy OR microgrid OR HEMS)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-85146093540,Online transfer learning strategy for enhancing the scalability and deployment of deep reinforcement learning control in smart buildings,10.1016/j.apenergy.2022.120598,Applied Energy,2023-03-01,Article,88,2,Coraci D.; Brandi S.; Hong T.; Capozzoli A.,Lawrence Berkeley National Laboratory; Politecnico di Torino,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85146093540&origin=inward
