episode,train_reward,best_eval_reward,phase,evals_since_best,anchor_candidate_count,anchor_updates,n_critic_updates,n_actor_updates,critic_loss,critic_main_loss,actor_loss,alpha_loss,q1_mean,q2_mean,q_return_corr,backup_mean,q_pi_mean,q_pi_std_mean,logp_mean,violation_mean,proj_delta_mean,kl,kl_from_best,kl_beta,alpha,lambda_value,actor_lr,critic_lr,eval_mean_reward,eval_worst_reward,eval_robust_reward,eval_energy_cost_mean,eval_bess_cost_mean,eval_ev_cost_mean,eval_pv_cost_mean,eval_grid_penalty_mean,eval_bess_abs_power_mean,eval_ev_abs_power_mean,eval_pv_cmd_mean
10,-429.132279826008,-80.78697781695807,1,11,0,0,252,126,0.16775386400579934,0.16775386400579934,2.6915232189117915,-1.0663313612874066,-2.661919177524627,-2.662759684381031,0.29080834665468763,-2.6514226188735357,-2.6552804746325056,0.034931058655419046,0.11806933404434294,0.07231900103700657,0.0,,17.53110667258974,,0.2994488768634342,0.0,0.0001,,-90.17847130006737,-141.50098231586162,-139.31403289172158,0.013581556515048394,0.00037625882427511976,0.030735705631284634,3.78629964795023e-05,6.221136542424891e-10,0.1806042305422976,0.37362655178181714,0.014294833737168606
11,-786.6908103593487,-77.18037614360242,1,12,0,0,252,126,0.09419123510578795,0.09419123510578795,2.0775144989528354,-2.198179939436534,-2.3067891181461393,-2.3066864940855236,0.2609318270392361,-2.301328987356216,-2.3124655882517495,0.03729377237577287,-0.7979139283535972,0.18876711704901286,0.0,,39.37096344478547,,0.2944225848667205,0.0,0.0001,,-77.18037614360242,-112.57074423818995,-111.67540509745231,0.013663149443590629,0.00039130255906340674,0.024194738472208075,3.4725601813798974e-05,6.323795561276787e-10,0.18782522295547457,0.37465585831970066,0.012944776755122704
12,-790.0459633432329,-53.56194294854284,1,13,0,0,252,126,0.10207860162925153,0.10207860162925153,2.030308011032286,-2.2340157883507863,-2.2470770393099104,-2.247103657987383,0.40085475525212666,-2.2424138197823176,-2.2639810414541337,0.043423927522131374,-0.8053922473438202,0.19901485918533235,0.0,,38.6001346527584,,0.290104179864838,0.0,0.0001,,-53.56194294854284,-82.75051362351223,-82.55725787021947,0.014405538525730037,0.000437461276460371,0.011691794158321714,3.3629558630902014e-05,5.99528670095072e-10,0.20998140673212232,0.40698394034286983,0.012541746533704025
13,-771.6171354533835,-52.52614972635661,1,14,0,0,252,126,0.106770494065824,0.106770494065824,2.0124193988149126,-2.2539727990589444,-2.2258869144651623,-2.2254196017507524,0.4722672470268749,-2.2220319471662004,-2.2417634555271695,0.051521548646546546,-0.8014467476852356,0.2161885548442129,0.0,,0.57062286564282,,0.28613254948267863,0.0,0.0001,,-52.52614972635661,-80.19203785607533,-79.88031883262738,0.015527931068582157,0.00030271518516691766,0.010180542742882704,4.3448110095499166e-05,6.5085817952102e-10,0.14530328501055323,0.4275529619722711,0.01660332516644754
14,-764.9588664775001,-51.704211887387906,1,15,0,0,252,126,0.12109457408743245,0.12109457408743245,2.019527075782655,-2.2806378432682584,-2.22666976660017,-2.22628366757953,0.5130197830379956,-2.223687325205122,-2.2463941782239885,0.05609715753604495,-0.8034714176541283,0.21920098080521538,0.0,,0.036033058036414406,,0.2823301146900843,0.0,0.0001,,-51.704211887387906,-80.01032369484892,-79.44099013059167,0.015452308870299655,0.00030951995060638724,0.009842933358959742,4.21676566338335e-05,6.529113598980578e-10,0.14856957234861082,0.43151107986233433,0.0160999179037439
15,-733.6832093989069,-51.00993193415085,1,16,0,0,252,126,0.13630845078400203,0.13630845078400203,2.038483140014467,-2.3090853312658886,-2.2468327482541404,-2.246913867337363,0.5334582641011193,-2.244975241403731,-2.263399319043235,0.06318857754388499,-0.8071290798603542,0.2258806921659954,0.0,,0.004541338410317188,,0.27863221651031855,0.0,0.0001,,-51.00993193415085,-78.55622665824922,-78.54938803146433,0.014978507298596113,0.00033855894081862795,0.009948249480003122,3.7229282855358655e-05,5.954223093409962e-10,0.16250828725147856,0.4259213474794739,0.014091721694689516
16,-708.736150728575,-51.00993193415085,1,17,0,0,252,126,0.1520686780531255,0.1520686780531255,2.1186919127191817,-2.3345782283752685,-2.3239426158723377,-2.32410819000668,0.5723989829421043,-2.3223906528382074,-2.3410922818713717,0.0695217503382573,-0.8085935158388955,0.2242076944500681,0.0,,0.005027250896784521,,0.27501699777822647,0.0,0.0001,,-51.67916987933711,-80.63921527318234,-79.70438786346676,0.0148584923511882,0.00033112191110127714,0.010410551700856195,3.4106825262081506e-05,2.3607673453643975e-07,0.1589385130240646,0.42309238674706123,0.012856929795422746
17,-670.9187833744545,-51.00993193415085,1,18,0,0,252,126,0.17015059700324422,0.17015059700324422,2.215139879120721,-2.3580787257542686,-2.4218217512917897,-2.4218747852340576,0.602750216566381,-2.4204015296603005,-2.4346836161991905,0.07896546510949967,-0.8086290245964414,0.23009735050182495,0.0,,0.004192764615817439,,0.2714744491709603,0.0,0.0001,,-53.320042972573525,-83.67172637004842,-83.56736940158498,0.01479759080458408,0.0003081812638573514,0.011307709346424681,3.402244183054044e-05,9.301420024017102e-07,0.14792700265608136,0.4183437504192981,0.012860846543309887
18,-720.9522954236381,-51.00993193415085,1,19,0,0,252,126,0.18937515278184225,0.18937515278184225,2.395777838570731,-2.3848142718511913,-2.5947824016449945,-2.5942986730545288,0.6358538513618802,-2.591065348140777,-2.613198889626397,0.08519693215688069,-0.8112086630056775,0.22792669101839974,0.0,,0.006903818433379961,,0.26799311358777306,0.0,0.0001,,-58.29022504328964,-93.30279820687792,-92.89969378124988,0.014523760201514304,0.00036574081095207034,0.013992935946804957,3.113148988542905e-05,2.336662880558694e-07,0.1755555844976611,0.41535053519058346,0.011700920994560502
19,-741.9009059245,-51.00993193415085,1,20,0,0,252,126,0.20216221717141925,0.20216221717141925,2.5482704033927313,-2.4074451809837702,-2.7397265793785217,-2.7392662309464955,0.6429532506163158,-2.737258327385736,-2.7627827023702953,0.09336453812226417,-0.8107157023180098,0.2295292764902115,0.0,,0.008715263453297435,,0.2645706170135074,0.0,0.0001,,-58.80042990054349,-94.83324147683743,-94.47769762497956,0.014825851146224133,0.0003402379915191115,0.013968936338423617,3.185376337985694e-05,6.056882112261858e-10,0.16331423149399815,0.4223297718862143,0.011995790420898508
