,Pgrid,Ppv,Load,PBESS,EBESS,Pev,Eev,ev_status,chi_pv,tariff,pv_available,pv_used
2000-01-08 03:05:00,5.0,0.0,0.14498,0.0,0.536809682053222,4.85502,11.8256831285676,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 03:10:00,5.0,0.0,0.14498,0.0,0.5362728723711686,4.85502,12.1898096285676,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 03:15:00,5.0,0.0,0.14498,0.0,0.5357365994987975,4.85502,12.5539361285676,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 03:20:00,0.14498,0.0,0.14498,0.0,0.5352008628992986,0.0,12.5539361285676,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 03:25:00,5.0,0.0,0.14498,0.0,0.5346656620363993,4.85502,12.918062628567599,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 03:30:00,0.14498,0.0,0.14498,0.0,0.5341309963743628,0.0,12.918062628567599,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 03:35:00,5.0,0.0,0.14498,0.0,0.5335968653779884,4.85502,13.282189128567598,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 03:40:00,5.0,0.0,0.14498,0.0,0.5330632685126104,4.85502,13.646315628567597,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 03:45:00,5.0,0.0,0.14498,0.0,0.5325302052440978,4.85502,14.010442128567597,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 03:50:00,5.0,0.0,0.5347915451,0.0,0.5319976750388536,4.4652084549,14.345332762685096,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 03:55:00,0.9405128203,0.0,0.9405128203,0.0,0.5314656773638148,0.0,14.345332762685096,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 04:00:00,1.346234095,0.0,1.346234095,0.0,0.5309342116864509,0.0,14.345332762685096,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 04:05:00,1.0439272510000002,0.0,1.0439272510000002,0.0,0.5304032774747645,0.0,14.345332762685096,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 04:10:00,1.5892659781766536,0.0,0.712679234,0.0,0.5298728741972896,0.8765867441766536,14.411076768498345,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 04:15:00,5.0,0.0,0.38143121710000005,0.0,0.5293430013230923,4.6185687829,14.757469427215845,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 04:20:00,5.0,0.0,0.2968596222,0.0,0.5288136583217692,4.7031403778,15.110204955550845,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 04:25:00,5.0,0.0,0.22238636399999998,0.0,0.5282848446634474,4.777613636,15.468525978250845,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 04:30:00,5.0,0.0,0.1479131059,0.0,0.5277565598187838,4.8520868941,15.832432495308344,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 04:35:00,5.0,0.0,0.14498,0.0,0.5272288032589649,4.85502,16.196558995308344,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 04:40:00,5.0,0.0,0.14498,0.0,0.5267015744557059,4.85502,16.560685495308345,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 04:45:00,5.0,0.0,0.14498,0.0,0.5261748728812501,4.85502,16.924811995308346,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 04:50:00,5.0,0.0,0.14498,0.0,0.5256486980083689,4.85502,17.288938495308347,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 04:55:00,5.0,0.0,0.14498,0.0,0.5251230493103605,4.85502,17.65306499530835,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 05:00:00,5.0,0.0,0.14498,0.0,0.52459792626105,4.85502,18.01719149530835,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 05:05:00,5.0,0.0,0.14498,0.0,0.5240733283347889,4.85502,18.38131799530835,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 05:10:00,5.0,0.0,0.14498,0.0,0.523549255006454,4.85502,18.74544449530835,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 05:15:00,5.0,0.0,0.14498,0.0,0.5230257057514476,4.85502,19.109570995308353,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 05:20:00,5.0,0.0,0.14498,0.0,0.5225026800456961,4.85502,19.473697495308354,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 05:25:00,5.0,0.0,0.14498,0.0,0.5219801773656503,4.85502,19.837823995308355,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 05:30:00,5.0,0.0,0.14498,0.0,0.5214581971882847,4.85502,20.201950495308356,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 05:35:00,5.0,0.0,0.1653086421,0.0,0.5209367389910964,4.8346913579,20.564552347150855,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 05:40:00,5.0,0.0,0.18647577810000002,0.0,0.5204158022521053,4.8135242219,20.925566663793354,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 05:45:00,5.0,0.0,0.20764291399999998,0.0,0.519895386449853,4.792357086,21.284993445243355,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 05:50:00,5.0,0.0,0.261063783,0.0,0.5193754910634032,4.738936217,21.640413661518355,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 05:55:00,5.0,0.0,0.3158170151,0.0,0.5188561155723398,4.6841829849,21.991727385385854,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 06:00:00,5.0,0.0,0.3705702473,0.0,0.5183372594567673,4.6294297527,22.338934616838355,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 06:05:00,0.8027383220000001,0.0,0.8027383220000001,0.0,0.5178189221973105,0.0,22.338934616838355,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 06:10:00,1.250520314,0.0,1.250520314,0.0,0.5173011032751131,0.0,22.338934616838355,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 06:15:00,5.0,0.0,1.698302305,0.0,0.516783802171838,3.301697695,22.586561943963353,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 06:20:00,5.0,0.0,1.7706405440000001,0.0,0.5162670183696662,3.229359456,22.828763903163352,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 06:25:00,5.0,0.0,1.82742317,0.0,0.5157507513512964,3.1725768299999997,23.06670716541335,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 06:30:00,5.0,0.0,1.884205796,0.0,0.515235000599945,3.115794204,23.30039173071335,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 06:35:00,5.0,0.0,1.931622537,0.0,0.5147197655993451,3.068377463,23.53052004043835,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 06:40:00,5.0,0.0,1.978650646,0.0,0.5142050458337457,3.021349354,23.75712124198835,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 06:45:00,5.0,0.0,2.025678754,0.0,0.5136908407879118,2.974321246,23.98019533543835,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 06:50:00,5.0,0.0,1.901464025,0.0,0.5131771499471239,3.098535975,24.21258553356335,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 06:55:00,5.0,0.0,1.770133055,0.0,0.5126639727971767,3.229866945,24.454825554438347,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 07:00:00,5.0,0.0,1.638802085,0.0,0.5121513088243795,3.361197915,24.706915398063348,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 07:05:00,5.0,0.0,1.629793774,0.0,0.511639157515555,3.370206226,24.959680865013347,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 07:10:00,5.0,0.0,1.625876332,0.0,0.5111275183580394,3.374123668,25.212740140113347,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 07:15:00,5.0,0.0,1.6219588900000002,0.0,0.5106163908396814,3.37804111,25.466093223363348,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 07:20:00,5.0,0.0,1.611496588,0.0,0.5101057744488416,3.388503412,25.72023097926335,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 07:25:00,5.0,0.0,1.600761495,0.0,0.5095956686743927,3.399238505,25.97517386713835,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 07:30:00,5.0,0.0,1.590026402,0.0,0.5090860730057182,3.409973598,26.230921886988348,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 07:35:00,5.0,0.0,1.545330128,0.0,0.5085769869327125,3.454669872,26.490022127388347,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 07:40:00,1.4992162390000001,0.0,1.4992162390000001,0.0,0.5080684099457797,0.0,26.490022127388347,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 07:45:00,5.0,0.0,1.453102349,0.0,0.507560341535834,3.546897651,26.756039451213347,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 07:50:00,5.0,0.0,1.41313761,0.0,0.5070527811942981,3.5868623900000003,27.025054130463346,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 07:55:00,5.0,0.0,1.373429931,0.0,0.5065457284131037,3.626570069,27.297046885638345,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 08:00:00,5.0,0.0,1.333722252,0.0,0.5060391826846905,3.6662777479999997,27.572017716738344,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 08:05:00,5.0,0.0,0.9726362368,0.0,0.5055331435020057,4.0273637632,27.874069998978342,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 08:10:00,5.0,0.0,0.5980953528,0.0,0.5050276103585037,4.4019046472,28.204212847518342,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 08:15:00,5.0,0.0,0.2235544688,0.0,0.5045225827481452,4.7764455312,28.562446262358343,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 08:20:00,5.0,0.0,0.2084826161,0.0,0.5040180601653971,4.7915173839,28.921810066150844,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 08:25:00,5.0,0.0,0.2084826161,0.0,0.5035140421052317,4.7915173839,29.281173869943345,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 08:30:00,5.0,0.0,0.2084826161,0.0,0.5030105280631264,4.7915173839,29.640537673735846,0.232891032,0.0,0.7,0.0,0.0
2000-01-08 08:35:00,4.9999999999999964,0.0013136329553627094,0.2084826161,0.0,0.5025075175350633,4.792831016855359,30.0,0.232891032,0.0,0.7,0.0013136329553627094,0.0013136329553627094
2000-01-08 08:40:00,0.2058001906528011,0.0026824254471988678,0.2084826161,0.0,0.5020050100175281,0.0,30.0,0.0,0.0,0.7,0.0026824254471988678,0.0026824254471988678
2000-01-08 08:45:00,0.20443139816096495,0.004051217939035026,0.2084826161,0.0,0.5015030050075105,0.0,0.0,0.0,0.0,0.7,0.004051217939035026,0.004051217939035026
2000-01-08 08:50:00,0.19927243156725669,0.009210184532743316,0.2084826161,0.0,0.501001502002503,0.0,0.0,0.0,0.0,0.7,0.009210184532743316,0.009210184532743316
2000-01-08 08:55:00,0.1939540804031369,0.014528535696863064,0.2084826161,0.0,0.5005005005005005,0.0,0.0,0.0,0.0,0.7,0.014528535696863064,0.014528535696863064
2000-01-08 09:00:00,0.18863572923901717,0.01984688686098281,0.2084826161,0.0,0.5,0.0,0.0,0.0,0.0,0.7,0.01984688686098281,0.01984688686098281
